Date;Hour  (GMT);CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2;PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;ICA Estación
31/12/2021;24:00:00;0,76;0,41;45;114;45;13,85;Muy bueno / Oso ona;11,35;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;23:00;0,61;0,36;35;103;50;13,15;Muy bueno / Oso ona;11,05;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;22:00;0,65;0,32;42;116;52;12,79;Muy bueno / Oso ona;;Sin datos / Daturik gabe;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;21:00;0,75;0,26;99;222;70;13;Muy bueno / Oso ona;;Sin datos / Daturik gabe;5;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;20:00;0,51;;58;155;67;13,11;Muy bueno / Oso ona;;Sin datos / Daturik gabe;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;19:00;0,35;;25;86;48;13;Muy bueno / Oso ona;;Sin datos / Daturik gabe;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;18:00;0,22;;4;35;29;13;Muy bueno / Oso ona;;Sin datos / Daturik gabe;3;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2021;17:00;0,13;;1;19;17;13;Muy bueno / Oso ona;11,11;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;16:00;0,02;;2;18;15;13,11;Muy bueno / Oso ona;11;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;15:00;;;4;21;15;12,89;Muy bueno / Oso ona;;Sin datos / Daturik gabe;3;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2021;14:00;;0,41;3;17;13;12,79;Muy bueno / Oso ona;11,21;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;13:00;-0,07;0,4;11;43;27;13,37;Muy bueno / Oso ona;11,95;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;12:00;0,08;0,39;40;102;41;14,47;Muy bueno / Oso ona;13,05;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;11:00;0,36;0,43;53;120;39;15,68;Muy bueno / Oso ona;14,05;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;10:00;0,56;0,39;63;138;41;16,47;Muy bueno / Oso ona;14,74;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;9:00;0,57;0,41;58;125;36;17,47;Muy bueno / Oso ona;15,11;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;8:00;0,58;0,39;44;104;36;17,95;Muy bueno / Oso ona;14,95;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;7:00;0,34;0,37;17;52;26;17,89;Muy bueno / Oso ona;14,84;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;6:00;;;;;;17,89;Muy bueno / Oso ona;15;Bueno / Ona;;Sin datos / Daturik gabe;Bueno / Ona
31/12/2021;5:00;;;;;;17,6;Muy bueno / Oso ona;14,7;Bueno / Ona;;Sin datos / Daturik gabe;Bueno / Ona
31/12/2021;4:00;;;;;;17,29;Muy bueno / Oso ona;14,52;Bueno / Ona;;Sin datos / Daturik gabe;Bueno / Ona
31/12/2021;3:00;;0,72;;;;16,91;Muy bueno / Oso ona;14,27;Bueno / Ona;;Sin datos / Daturik gabe;Bueno / Ona
31/12/2021;2:00;0,34;0,69;8;34;23;16,43;Muy bueno / Oso ona;14;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;1:00;0,69;0,66;17;57;31;16,09;Muy bueno / Oso ona;13,7;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;24:00:00;0,48;0,66;31;80;32;16;Muy bueno / Oso ona;13,35;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;23:00;;0,59;;;;15,7;Muy bueno / Oso ona;12,96;Bueno / Ona;;Sin datos / Daturik gabe;Bueno / Ona
30/12/2021;22:00;0,81;0,55;119;237;55;15,38;Muy bueno / Oso ona;12,88;Bueno / Ona;5;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;21:00;0,87;0,5;140;281;67;14,96;Muy bueno / Oso ona;12,78;Bueno / Ona;5;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;20:00;0,88;0,44;134;277;72;14,82;Muy bueno / Oso ona;12,77;Bueno / Ona;5;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;19:00;0,69;0,39;77;181;63;14,76;Muy bueno / Oso ona;12,95;Bueno / Ona;5;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;18:00;0,43;0,4;24;93;56;15;Muy bueno / Oso ona;13,35;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;17:00;0,47;0,43;16;71;46;15,42;Muy bueno / Oso ona;13,68;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;16:00;0,3;0,47;5;30;22;15,94;Muy bueno / Oso ona;14,22;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;15:00;0,2;0,49;4;21;15;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;4;Muy bueno / Oso ona;Muy bueno / Oso ona
30/12/2021;14:00;0,38;0,51;41;114;52;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;5;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;13:00;0,43;0,5;60;157;65;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;5;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;12:00;0,37;0,49;58;145;56;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;4;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;11:00;0,52;0,47;85;182;52;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;4;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;10:00;0,59;0,44;104;202;43;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;5;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;9:00;0,81;0,4;182;330;52;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;6;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;8:00;0,57;0,35;72;142;33;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;4;Muy bueno / Oso ona;Muy bueno / Oso ona
30/12/2021;7:00;0,42;0,34;48;103;30;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;4;Muy bueno / Oso ona;Muy bueno / Oso ona
30/12/2021;6:00;0,38;0,33;32;73;24;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;4;Muy bueno / Oso ona;Muy bueno / Oso ona
30/12/2021;5:00;0,33;0,35;16;48;24;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;3;Muy bueno / Oso ona;Muy bueno / Oso ona
30/12/2021;4:00;0,3;0,38;7;34;23;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;3;Muy bueno / Oso ona;Muy bueno / Oso ona
30/12/2021;3:00;0,31;0,4;2;22;19;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;3;Muy bueno / Oso ona;Muy bueno / Oso ona
30/12/2021;2:00;0,31;0,41;3;25;20;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;3;Muy bueno / Oso ona;Muy bueno / Oso ona
30/12/2021;1:00;0,36;0,41;6;36;27;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;3;Muy bueno / Oso ona;Muy bueno / Oso ona
29/12/2021;24:00:00;0,35;0,41;6;40;30;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;3;Muy bueno / Oso ona;Muy bueno / Oso ona
29/12/2021;23:00;0,37;0,4;7;45;34;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;3;Muy bueno / Oso ona;Muy bueno / Oso ona
29/12/2021;22:00;;;;;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;Sin datos / Daturik gabe
29/12/2021;21:00;;;;;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;Sin datos / Daturik gabe
29/12/2021;20:00;;;;;;6,72;Muy bueno / Oso ona;4,94;Muy bueno / Oso ona;;Sin datos / Daturik gabe;Muy bueno / Oso ona
29/12/2021;19:00;;;;;;6,84;Muy bueno / Oso ona;4,79;Muy bueno / Oso ona;;Sin datos / Daturik gabe;Muy bueno / Oso ona
29/12/2021;18:00;;;;;;6,75;Muy bueno / Oso ona;4,65;Muy bueno / Oso ona;;Sin datos / Daturik gabe;Muy bueno / Oso ona
29/12/2021;17:00;;;;;;6,76;Muy bueno / Oso ona;4,71;Muy bueno / Oso ona;;Sin datos / Daturik gabe;Muy bueno / Oso ona
29/12/2021;16:00;;;;;;6,73;Muy bueno / Oso ona;4,82;Muy bueno / Oso ona;;Sin datos / Daturik gabe;Muy bueno / Oso ona
29/12/2021;15:00;;0,28;;;;6,65;Muy bueno / Oso ona;4,78;Muy bueno / Oso ona;;Sin datos / Daturik gabe;Muy bueno / Oso ona
29/12/2021;14:00;0,19;0,28;1;10;8;6,54;Muy bueno / Oso ona;4,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
29/12/2021;13:00;0,2;0,29;3;12;8;6,71;Muy bueno / Oso ona;4,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
29/12/2021;12:00;0,27;0,29;2;11;8;6,79;Muy bueno / Oso ona;4,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
29/12/2021;11:00;0,31;0,28;3;17;12;6,88;Muy bueno / Oso ona;4,88;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
29/12/2021;10:00;0,3;0,27;3;22;18;7;Muy bueno / Oso ona;4,96;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
29/12/2021;9:00;0,37;0,26;23;83;47;7,04;Muy bueno / Oso ona;4,96;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Bueno / Ona
29/12/2021;8:00;0,29;0,24;8;44;32;6,92;Muy bueno / Oso ona;4,88;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
29/12/2021;7:00;0,27;0,24;3;17;12;7,13;Muy bueno / Oso ona;4,88;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
29/12/2021;6:00;0,23;0,24;1;8;6;7,17;Muy bueno / Oso ona;4,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
29/12/2021;5:00;0,23;0,25;0;4;4;7,33;Muy bueno / Oso ona;4,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
29/12/2021;4:00;0,24;0,25;0;4;4;7,29;Muy bueno / Oso ona;4,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
29/12/2021;3:00;0,23;0,27;0;3;3;7,29;Muy bueno / Oso ona;4,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
29/12/2021;2:00;0,24;0,28;0;4;4;7,33;Muy bueno / Oso ona;4,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
29/12/2021;1:00;0,24;0,29;0;5;5;7,35;Muy bueno / Oso ona;4,65;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;24:00:00;0,25;0,31;0;5;5;7,17;Muy bueno / Oso ona;4,61;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;23:00;0,26;0,31;0;5;5;7,26;Muy bueno / Oso ona;4,57;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;22:00;0,27;0,31;1;10;9;7,48;Muy bueno / Oso ona;4,61;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;21:00;0,28;0,32;1;14;13;7,7;Muy bueno / Oso ona;4,65;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;20:00;0,31;0,32;1;17;16;7,91;Muy bueno / Oso ona;4,78;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;19:00;0,33;0,32;2;23;21;8,09;Muy bueno / Oso ona;4,96;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;18:00;0,33;0,31;1;17;16;8,3;Muy bueno / Oso ona;5,04;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;17:00;0,36;0,3;1;16;14;8,35;Muy bueno / Oso ona;4,96;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;16:00;0,33;0,29;1;11;9;8,61;Muy bueno / Oso ona;4,74;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;15:00;0,3;0,29;1;9;7;8,83;Muy bueno / Oso ona;4,65;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;14:00;0,32;0,29;2;10;7;8,87;Muy bueno / Oso ona;4,61;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;13:00;0,3;0,28;2;12;9;8,87;Muy bueno / Oso ona;4,74;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;12:00;0,32;0,28;4;13;8;8,91;Muy bueno / Oso ona;4,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;11:00;0,29;0,28;2;12;9;8,91;Muy bueno / Oso ona;4,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;10:00;0,27;0,28;2;10;8;8,83;Muy bueno / Oso ona;4,78;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;9:00;0,26;0,28;1;9;7;8,74;Muy bueno / Oso ona;4,65;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;8:00;0,29;0,28;0;7;6;8,74;Muy bueno / Oso ona;4,52;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;7:00;0,3;0,28;1;6;5;8,48;Muy bueno / Oso ona;4,39;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;6:00;0,28;0,28;0;4;4;8,3;Muy bueno / Oso ona;4,26;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;5:00;0,28;0,28;0;3;3;8;Muy bueno / Oso ona;4,13;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;4:00;0,27;0,28;0;2;2;7,78;Muy bueno / Oso ona;3,96;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;3:00;0,27;0,27;0;2;2;7,61;Muy bueno / Oso ona;3,78;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
28/12/2021;2:00;;0,28;;;;7,39;Muy bueno / Oso ona;3,57;Muy bueno / Oso ona;;Sin datos / Daturik gabe;Muy bueno / Oso ona
28/12/2021;1:00;0,28;0,28;0;2;2;7,21;Muy bueno / Oso ona;3,46;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;24:00:00;0,28;0,28;0;2;2;7,04;Muy bueno / Oso ona;3,29;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;23:00;0,28;0,28;0;3;3;6,79;Muy bueno / Oso ona;3,21;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;22:00;0,28;0,29;0;5;5;6,54;Muy bueno / Oso ona;3,21;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;21:00;0,29;0,29;0;8;7;6,42;Muy bueno / Oso ona;3,17;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;20:00;0,26;0,29;1;8;7;6,25;Muy bueno / Oso ona;2,96;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;19:00;0,27;0,29;1;9;7;5,96;Muy bueno / Oso ona;2,75;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;18:00;0,28;0,29;1;12;10;5,63;Muy bueno / Oso ona;2,63;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;17:00;0,28;0,29;1;11;9;5,42;Muy bueno / Oso ona;2,57;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;16:00;0,3;0,29;1;13;12;5,04;Muy bueno / Oso ona;2,59;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;15:00;0,31;0,29;1;10;8;4,71;Muy bueno / Oso ona;3,77;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;14:00;0,33;0,28;2;10;7;4,58;Muy bueno / Oso ona;3,73;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;13:00;0,29;0,27;2;11;8;4,54;Muy bueno / Oso ona;3,55;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;12:00;0,24;0,28;1;8;6;4,42;Muy bueno / Oso ona;3,59;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;11:00;0,3;0,28;2;12;8;4,46;Muy bueno / Oso ona;3,64;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;10:00;0,3;0,27;4;19;13;4,46;Muy bueno / Oso ona;3,73;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;9:00;0,27;0,27;3;18;14;4,42;Muy bueno / Oso ona;3,86;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;8:00;0,28;0,27;1;13;11;4,42;Muy bueno / Oso ona;4;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;7:00;0,28;0,27;1;8;7;4,42;Muy bueno / Oso ona;4,05;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;6:00;0,28;0,29;0;4;4;4,38;Muy bueno / Oso ona;4,18;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;5:00;0,27;0,3;0;2;2;4,46;Muy bueno / Oso ona;4,41;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;4:00;0,27;0,31;0;2;2;4,5;Muy bueno / Oso ona;4,68;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;3:00;0,27;0,32;0;1;1;4,54;Muy bueno / Oso ona;5;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;2:00;0,28;0,32;0;3;3;4,75;Muy bueno / Oso ona;5,41;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/12/2021;1:00;0,29;0,32;0;5;5;4,96;Muy bueno / Oso ona;5,86;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;24:00:00;0,32;0,32;3;14;10;5,17;Muy bueno / Oso ona;6,27;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;23:00;0,37;0,32;2;20;17;5,5;Muy bueno / Oso ona;6,73;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;22:00;0,36;0,32;6;35;27;5,71;Muy bueno / Oso ona;7,09;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;21:00;0,36;0,31;4;37;31;5,96;Muy bueno / Oso ona;7,5;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;20:00;0,33;0,31;5;43;36;6,13;Muy bueno / Oso ona;7,95;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;19:00;0,29;0,32;2;24;21;6,17;Muy bueno / Oso ona;8,27;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;18:00;0,3;0,33;1;25;24;6,46;Muy bueno / Oso ona;8,5;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;17:00;0,29;0,34;2;18;15;6,54;Muy bueno / Oso ona;8,3;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;16:00;0,29;0,35;1;14;12;6,63;Muy bueno / Oso ona;8,13;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;15:00;0,32;0,36;1;12;9;6,67;Muy bueno / Oso ona;7,08;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;14:00;0,34;0,36;2;13;9;6,75;Muy bueno / Oso ona;7,08;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;13:00;0,32;0,35;3;14;10;6,71;Muy bueno / Oso ona;7,08;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;12:00;0,35;0,35;8;34;21;6,79;Muy bueno / Oso ona;7,04;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;11:00;0,4;0,34;26;70;30;6,75;Muy bueno / Oso ona;7;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;10:00;0,35;0,34;18;51;24;6,71;Muy bueno / Oso ona;6,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;9:00;0,4;0,34;31;71;25;6,71;Muy bueno / Oso ona;6,75;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;8:00;0,4;0,34;21;61;30;6,58;Muy bueno / Oso ona;6,75;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;7:00;0,38;0,32;7;30;20;6,71;Muy bueno / Oso ona;6,75;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;6:00;0,31;0,35;1;10;9;6,79;Muy bueno / Oso ona;6,63;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;5:00;0,32;0,43;3;16;11;6,75;Muy bueno / Oso ona;6,58;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;4:00;0,31;0,5;1;13;12;6,79;Muy bueno / Oso ona;6,63;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;3:00;0,35;0,52;1;20;19;6,83;Muy bueno / Oso ona;6,67;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;2:00;0,36;0,53;1;15;14;7;Muy bueno / Oso ona;6,75;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
26/12/2021;1:00;0,32;0,54;1;18;17;7,25;Muy bueno / Oso ona;6,92;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
25/12/2021;24:00:00;0,34;0,55;3;23;19;7,38;Muy bueno / Oso ona;7;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
25/12/2021;23:00;0,5;0,53;19;73;45;7,25;Muy bueno / Oso ona;7,13;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Bueno / Ona
25/12/2021;22:00;0,5;0,51;31;99;51;7,25;Muy bueno / Oso ona;7,25;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Bueno / Ona
25/12/2021;21:00;0,98;0,45;63;168;72;7,13;Muy bueno / Oso ona;7,17;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Bueno / Ona
25/12/2021;20:00;0,68;0,41;59;160;70;7,17;Muy bueno / Oso ona;7,13;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Bueno / Ona
25/12/2021;19:00;0,44;0,38;6;52;43;7,33;Muy bueno / Oso ona;7,25;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Bueno / Ona
25/12/2021;18:00;0,41;0,37;3;40;35;7,33;Muy bueno / Oso ona;7,42;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
25/12/2021;17:00;0,37;0,36;1;20;19;7,75;Muy bueno / Oso ona;7,67;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
25/12/2021;16:00;0,37;0,35;1;14;12;8;Muy bueno / Oso ona;7,96;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
25/12/2021;15:00;0,38;0,34;2;15;13;8,42;Muy bueno / Oso ona;8,25;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
25/12/2021;14:00;0,38;0,32;2;18;16;8,75;Muy bueno / Oso ona;8,33;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
25/12/2021;13:00;0,4;0,31;2;18;15;9;Muy bueno / Oso ona;8,29;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
25/12/2021;12:00;0,39;0,3;2;15;12;9;Muy bueno / Oso ona;8,46;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
25/12/2021;11:00;0,34;0,29;1;10;8;9,21;Muy bueno / Oso ona;8,88;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
25/12/2021;10:00;0,32;0,29;2;13;11;9,88;Muy bueno / Oso ona;9,5;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
25/12/2021;9:00;0,29;0,3;1;10;8;10,58;Muy bueno / Oso ona;10;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
25/12/2021;8:00;0,27;0,31;0;9;9;11;Muy bueno / Oso ona;;Sin datos / Daturik gabe;3;Muy bueno / Oso ona;Muy bueno / Oso ona
25/12/2021;7:00;0,26;0,32;0;8;8;11,25;Muy bueno / Oso ona;;Sin datos / Daturik gabe;3;Muy bueno / Oso ona;Muy bueno / Oso ona
25/12/2021;6:00;0,26;0,35;1;9;8;11,42;Muy bueno / Oso ona;11,17;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
25/12/2021;5:00;0,28;0,37;0;5;5;11,79;Muy bueno / Oso ona;11,46;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
25/12/2021;4:00;0,32;0,37;1;9;8;12;Muy bueno / Oso ona;11,58;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
25/12/2021;3:00;0,3;0,38;1;12;10;12,21;Muy bueno / Oso ona;11,67;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
